input_file,lua_result,lua_jit_result,gopher_lua_result,lua2c_result
"./minimized-corpus/id:002762,src:002459+002666,time:1144231,execs:883826,op:libgrammarmutator-lua,pos:0",0,0,1,0
"./minimized-corpus/id:002763,src:002459+000069,time:1144243,execs:883841,op:libgrammarmutator-lua,pos:0",0,0,1,0
"./minimized-corpus/id:002776,src:002539+001196,time:934821,execs:742889,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002779,src:002539+002734,time:935174,execs:743304,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002784,src:002554+002604,time:1092932,execs:858791,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002803,src:002621+001831,time:1201128,execs:923877,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002804,src:002621+000285,time:1203002,execs:924855,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002807,src:001525+000064,time:938847,execs:747312,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002809,src:002621+000883,time:1203777,execs:925293,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002818,src:002771+000094,time:1090458,execs:859898,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002828,src:002054+002391,time:1223293,execs:938388,op:libgrammarmutator-lua,pos:0",0,1,1,1
"./minimized-corpus/id:002830,src:002054+002015,time:1224334,execs:939735,op:libgrammarmutator-lua,pos:0,+cov",0,1,1,1
"./minimized-corpus/id:002833,src:002054+000939,time:1224376,execs:939765,op:libgrammarmutator-lua,pos:0",0,1,1,1
"./minimized-corpus/id:002839,src:002054+000082,time:1225794,execs:940893,op:libgrammarmutator-lua,pos:0",0,1,1,1
"./minimized-corpus/id:002849,sync:fuzzer7,src:002526",0,0,0,1
"./minimized-corpus/id:002850,src:002552+002538,time:1178380,execs:931883,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002862,src:000909+001770,time:1376854,execs:975436,op:libgrammarmutator-lua,pos:0",1,1,1,0
"./minimized-corpus/id:002862,src:002494+001371,time:1679700,execs:1206262,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002863,src:002494+000790,time:1679793,execs:1206319,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002864,sync:fuzzer7,src:002544",0,0,0,1
"./minimized-corpus/id:002902,src:002749+002296,time:1054363,execs:842955,op:libgrammarmutator-lua,pos:0",0,0,1,1
"./minimized-corpus/id:002911,src:002749+001456,time:1056093,execs:844538,op:libgrammarmutator-lua,pos:0",0,0,1,1
"./minimized-corpus/id:002920,src:001290+000505,time:1196413,execs:935863,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002950,src:002942+001315,time:1107695,execs:892708,op:libgrammarmutator-lua,pos:0",0,0,1,1
"./minimized-corpus/id:002957,src:002608+000948,time:1239523,execs:970284,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002958,src:002608+001876,time:1240223,execs:971126,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002971,src:002620+002438,time:1255449,execs:984663,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002972,src:002839+001903,time:1474622,execs:1096883,op:libgrammarmutator-lua,pos:0",0,1,1,1
"./minimized-corpus/id:002974,src:002620+001351,time:1256602,execs:985989,op:libgrammarmutator-lua,pos:0",0,1,0,1
"./minimized-corpus/id:002979,src:002807+000136,time:1171794,execs:937570,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002981,src:002620+001553,time:1257381,execs:986810,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002981,src:002807+001648,time:1172805,execs:939150,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:002998,src:002813+000415,time:1276903,execs:1000860,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:003006,src:001723+000861,time:1795073,execs:1258797,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:003015,src:002953+000357,time:1216738,execs:979377,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:003021,src:002953+001023,time:1217413,execs:979941,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:003025,src:002435+000693,time:1310187,execs:1028083,op:libgrammarmutator-lua,pos:0",0,0,1,1
"./minimized-corpus/id:003031,src:002792+002335,time:1633859,execs:1180137,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:003037,src:002792+000591,time:1634840,execs:1180937,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:003038,src:002625+000022,time:1205245,execs:962734,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:003063,src:002176+001186,time:1252369,execs:1009701,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:003067,src:001572+002073,time:1227200,execs:982935,op:libgrammarmutator-lua,pos:0",0,1,1,1
"./minimized-corpus/id:003069,src:002176+001632,time:1254326,execs:1012181,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:003069,src:003060+003062,time:1399632,execs:1089455,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:003077,src:002178+002628,time:1259958,execs:1016079,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:003112,src:002596+002245,time:1285300,execs:1029426,op:libgrammarmutator-lua,pos:0,+cov",1,1,1,0
"./minimized-corpus/id:003135,src:001952+000392,time:1315643,execs:1055383,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:003140,src:002173+002188,time:1318553,execs:1058453,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:003142,src:002173+002418,time:1318670,execs:1058548,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:003144,src:001288+000204,time:1341785,execs:1071313,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:003146,src:002953+002420,time:1604040,execs:1212204,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:003173,src:002519+003005,time:1612136,execs:1219953,op:libgrammarmutator-lua,pos:0",0,1,0,1
"./minimized-corpus/id:003176,src:003100+000272,time:1791548,execs:1373853,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:003207,src:003198+002362,time:1530124,execs:1192893,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:003208,src:003198+002203,time:1530129,execs:1192901,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:003209,src:003198+000152,time:1530133,execs:1192909,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:003217,src:003156+002967,time:1705648,execs:1291420,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:003219,src:003156+002719,time:1707102,execs:1292241,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:003221,src:003156+001171,time:1707217,execs:1292348,op:libgrammarmutator-lua,pos:0",0,0,1,1
"./minimized-corpus/id:003228,src:003156+000107,time:1708339,execs:1293126,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:003243,src:003035+002778,time:1584239,execs:1233695,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:003244,src:003035+000599,time:1584327,execs:1233750,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:003258,src:002469+000702,time:1754693,execs:1328378,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:003265,src:002087+000751,time:1620197,execs:1251513,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:003268,src:003213+000194,time:1767570,execs:1339709,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:003269,src:003213+000357,time:1767612,execs:1339761,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:003270,src:003213+002748,time:1767680,execs:1339850,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:003272,src:003069+001774,time:1623137,execs:1254876,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:003276,src:003213+000290,time:1768709,execs:1341301,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:003277,src:003213+002075,time:1770616,execs:1342839,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:003281,src:003213+003026,time:1771189,execs:1343177,op:libgrammarmutator-lua,pos:0",0,0,0,1
"./minimized-corpus/id:003282,src:003213+001062,time:1771218,execs:1343204,op:libgrammarmutator-lua,pos:0",0,0,0,1
